count,zipcode
1,02564
1,05736
1,06606
1,06615
1,07067
1,07506
1,07628
1,07644
1,08071
1,08401
1,08629
1,08820
1,08846
1,08884
1,10606
1,11010
1,11208
1,11554
1,11801
1,13205
1,14305
1,15049
1,15062
1,15629
1,15949
1,16503
1,17046
1,19033
1,19074
1,20110
1,28625
1,30291
1,32931
1,33598
1,33852
1,33936
1,33972
1,36830
1,39204
1,40217
1,43605
1,43722
1,44212
1,44306
1,44311
1,44405
1,44672
1,45505
1,46013
1,46516
1,46545
1,46615
1,46617
1,46802
1,48015
1,48089
1,48091
1,48507
1,48529
1,48627
1,48653
1,49617
1,50315
1,52802
1,54151
1,56536
1,56581
1,58444
1,58451
1,58576
1,60034
1,60134
1,60469
1,60475
1,60532
1,61443
1,63110
1,64067
1,72908
1,73014
1,73072
1,74533
1,74553
1,76164
1,77619
1,77656
1,78210
1,78573
1,79930
1,80538
1,88310
1,89121
1,90011
1,90059
1,90291
1,90723
1,90746
1,91750
1,91768
1,91950
1,92410
1,94134
1,94610
1,94703
1,95231
1,95337
1,95419
1,95695
1,98377
1,98404
1,99517
1,99611
1,zip
2,01056
2,01843
2,01844
2,01851
2,03038
2,06418
2,06515
2,06604
2,07646
2,07936
2,08609
2,10595
2,10925
2,11507
2,11563
2,11710
2,11757
2,13329
2,14048
2,14217
2,15132
2,26104
2,28562
2,34266
2,35630
2,35904
2,36107
2,36608
2,38950
2,43780
2,44446
2,44509
2,45356
2,46809
2,48170
2,48197
2,48625
2,50321
2,51022
2,51232
2,51243
2,52255
2,53520
2,54701
2,54929
2,56003
2,56570
2,58201
2,59501
2,59872
2,60020
2,60048
2,60085
2,61008
2,61065
2,62988
2,64129
2,64133
2,68701
2,75689
2,76106
2,79045
2,80027
2,80549
2,82431
2,90220
2,92404
2,93030
2,95126
2,95330
2,96021
2,98014
2,99635
3,01075
3,02081
3,05701
3,06010
3,07006
3,07008
3,07052
3,08028
3,08050
3,11558
3,11590
3,11735
3,14221
3,15223
3,15644
3,16441
3,19067
3,43719
3,44444
3,49632
3,49707
3,51537
3,52601
3,53027
3,55734
3,56262
3,56265
3,59474
3,60126
3,60436
3,63383
3,74834
3,76475
3,90002
3,91710
3,93308
3,98812
4,01027
4,02360
4,08232
4,10306
4,12303
4,12586
4,14843
4,19050
4,35034
4,44146
4,44266
4,46342
4,51238
4,51249
4,54630
4,56501
4,60953
4,61920
4,62056
4,62918
4,63940
4,64085
4,65270
4,80537
4,83201
4,83837
4,87036
4,90001
4,90280
4,93230
4,97424
5,06512
5,07675
5,07882
5,08094
5,12095
5,13662
5,14020
5,18301
5,23324
5,28345
5,31750
5,40701
5,44820
5,47591
5,48632
5,54963
5,60060
5,63119
5,71107
5,74432
5,75630
5,80621
5,95536
6,01915
6,08251
6,08902
6,13073
6,13760
6,15202
6,15221
6,15905
6,16365
6,17033
6,25015
6,25177
6,43832
6,45013
6,45224
6,45365
6,60411
6,61607
6,68869
6,76856
6,82901
7,07676
7,08721
7,08879
7,12134
7,12180
7,12901
7,15632
7,15690
7,19355
7,19609
7,19703
7,19971
7,39567
7,43050
7,44030
7,60046
7,61832
7,71201
7,89801
7,98902
8,02026
8,08016
8,08816
8,14701
8,15001
8,15238
8,15474
8,25314
8,26362
8,27834
8,27910
8,33901
8,43130
8,43725
8,43731
8,43764
8,51201
8,52501
8,52632
8,53511
8,62025
8,97045
9,06360
9,18015
9,63122
9,85603
10,08096
10,08753
10,19020
10,19401
10,24740
10,43952
10,98520
11,14527
11,18013
11,18052
12,19605
12,21502
12,43055
12,43160
12,59701
13,12010
13,40422
13,45662
14,19047
15,17331
15,46041
16,08012
17,16001
18,08008
18,23434
19,15301
19,15650
22,24201
23,26301
25,15401
31,47201
42,26505
